role,path,exists,size_bytes
input,Experiment/run_4133_m5_review_before_4134.py,True,38440
input,Output/4130/decision.json,True,1914
input,Output/4130/definition_dictionary.csv,True,3329
input,Output/4130/claim_strength_registry.csv,True,2761
input,Output/4131/decision.json,True,2527
input,Output/4131/positive_phenomenon_atlas.csv,True,3288
input,Output/4131/positive_figure_plan.csv,True,1154
input,Output/4132/decision.json,True,1977
input,Output/4132/negative_boundary_atlas.csv,True,5968
input,Output/4133/decision.json,True,2395
input,Output/4133/observation_classes.csv,True,3478
input,Output/4133/heterogeneity_associations.csv,True,3011
output,Output/4133_M5_review_before_4134/m5_gate_review.csv,True,2121
output,Output/4133_M5_review_before_4134/main_vs_supplement_figure_candidates.csv,True,5673
output,Output/4133_M5_review_before_4134/claim_storyline_review.csv,True,3113
output,Output/4133_M5_review_before_4134/overclaim_risk_register.csv,True,1860
output,Output/4133_M5_review_before_4134/4134_action_checklist.csv,True,1562
output,Output/4133_M5_review_before_4134/artifact_audit.csv,True,2928
output,Output/4133_M5_review_before_4134/decision.json,True,2405
output,Output/4133_M5_review_before_4134/M5_review_before_4134.md,True,10664
