role,path,exists,size_bytes
input,Experiment/run_4134_figure_ready_evidence_panels.py,True,57494
input,Output/4133_M5_review_before_4134/decision.json,True,2405
input,Output/4133_M5_review_before_4134/main_vs_supplement_figure_candidates.csv,True,5673
input,Output/4133_M5_review_before_4134/claim_storyline_review.csv,True,3113
input,Output/4130/definition_dictionary.csv,True,3329
input,Output/4130/claim_strength_registry.csv,True,2761
input,Output/4131/positive_phenomenon_atlas.csv,True,3288
input,Output/4131/observation_positive_coverage_matrix.csv,True,6550
input,Output/4132/negative_boundary_atlas.csv,True,5968
input,Output/4133/observation_master_table.csv,True,23974
input,Output/4133/observation_classes.csv,True,3478
input,Output/4085/aggregate_profiles.csv,True,22768
input,Output/4090/primary_metrics.csv,True,522
input,Output/4100/observation_level_effects.csv,True,2681
input,Output/4121/observation_level_effects.csv,True,6385
input_raw_snapshot_source,data/raw\Ob2.txt,True,79022088
output,Output/4134/figure_source_map.csv,True,9158
output,Output/4134/panel_metadata.csv,True,8986
output,Output/4134/main_figure_manifest.csv,True,1990
output,Output/4134/figure_caption_drafts.csv,True,2501
output,Output/4134/main_figure_plan.md,True,7347
output,Output/4134/supplementary_figure_plan.md,True,1753
output,Output/4134/figure_caption_drafts.md,True,5611
output,Output/4134/4134_summary.md,True,4563
output,Output/4134/figures/4134_figure1_data_t1_definition.png,True,374397
output,Output/4134/figures/4134_figure2_t1_survival_across_observations.png,True,157113
output,Output/4134/figures/4134_figure3_spatial_timing_structure.png,True,247811
output,Output/4134/figures/4134_figure4_reduction_boundaries.png,True,219297
output,Output/4134/figures/4134_figure5_observation_heterogeneity.png,True,259359
output,Output/4134/source_map.csv,True,1855
output,Output/4134/decision.json,True,2704
