ob,dataset,n_replicates,null_pass_rate_k8,null_pass_rate_k10,null_pass_rate_both,null_pass_rate_any,observed_k8_pass,observed_k10_pass,observed_both_pass,observed_any_pass
1,Ob1.txt,100,0.38,0.4,0.21,0.57,False,False,False,False
2,Ob2.txt,100,0.4,0.36,0.21,0.55,True,True,True,True
3,Ob3.txt,100,0.4,0.34,0.21,0.53,False,False,False,False
4,Ob4.txt,100,0.39,0.31,0.2,0.5,False,True,False,True
5,Ob5.txt,100,0.33,0.23,0.14,0.42,True,True,True,True
6,Ob6.txt,100,0.43,0.48,0.33,0.58,False,False,False,False
7,Ob7.txt,100,0.41,0.35,0.19,0.57,True,True,True,True
8,Ob8.txt,100,0.48,0.4,0.29,0.59,False,False,False,False
9,Ob9.txt,100,0.32,0.37,0.18,0.51,True,True,True,True
10,Ob10.txt,100,0.34,0.31,0.17,0.48,True,True,True,True
11,Ob11.txt,100,0.18,0.33,0.12,0.39,True,True,True,True
12,Ob12.txt,100,0.37,0.31,0.18,0.5,True,True,True,True
13,Ob13.txt,100,0.54,0.56,0.41,0.69,True,True,True,True
14,Ob14.txt,100,0.36,0.38,0.24,0.5,True,True,True,True
15,Ob15.txt,100,0.36,0.42,0.22,0.56,True,True,True,True
16,Ob16.txt,100,0.4,0.43,0.24,0.59,True,True,True,True
17,Ob17.txt,100,0.34,0.44,0.22,0.56,True,True,True,True
18,Ob18.txt,100,0.58,0.46,0.39,0.65,True,True,True,True
19,Ob19.txt,100,0.49,0.47,0.34,0.62,True,True,True,True
