replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
1,1,8,19,19,19,19
2,4,11,19,19,19,19
3,3,9,19,19,19,19
4,11,13,19,19,19,19
5,1,5,19,19,19,19
6,4,10,19,19,19,19
7,3,8,19,19,19,19
8,7,12,19,19,19,19
9,5,10,19,19,19,19
10,4,8,19,19,19,19
11,2,10,19,19,19,19
12,1,7,19,19,19,19
13,5,14,19,19,19,19
14,4,12,19,19,19,19
15,5,12,19,19,19,19
16,5,11,19,19,19,19
17,3,10,19,19,19,19
18,4,8,19,19,19,19
19,8,11,19,19,19,19
20,5,12,19,19,19,19
21,5,12,19,19,19,19
22,8,14,19,19,19,19
23,3,11,19,19,19,19
24,5,11,19,19,19,19
25,1,7,19,19,19,19
26,5,10,19,19,19,19
27,3,12,19,19,19,19
28,2,9,19,19,19,19
29,4,5,19,19,19,19
30,4,8,19,19,19,19
31,6,11,19,19,19,19
32,7,11,19,19,19,19
33,6,9,19,19,19,19
34,4,9,19,19,19,19
35,3,11,19,19,19,19
36,4,9,19,19,19,19
37,5,10,19,19,19,19
38,6,12,19,19,19,19
39,9,16,19,19,19,19
40,4,11,19,19,19,19
41,5,12,19,19,19,19
42,4,9,19,19,19,19
43,3,12,19,19,19,19
44,5,10,19,19,19,19
45,6,12,19,19,19,19
46,10,16,19,19,19,19
47,7,13,19,19,19,19
48,2,9,19,19,19,19
49,5,7,19,19,19,19
50,6,9,19,19,19,19
51,5,10,19,19,19,19
52,8,13,19,19,19,19
53,3,8,19,19,19,19
54,4,11,19,19,19,19
55,3,9,19,19,19,19
56,4,11,19,19,19,19
57,7,14,19,19,19,19
58,3,8,19,19,19,19
59,4,12,19,19,19,19
60,5,9,19,19,19,19
61,6,12,19,19,19,19
62,2,7,19,19,19,19
63,4,11,19,19,19,19
64,2,6,19,19,19,19
65,2,11,19,19,19,19
66,3,9,19,19,19,19
67,3,13,19,19,19,19
68,5,15,19,19,19,19
69,2,10,19,19,19,19
70,4,11,19,19,19,19
71,5,13,19,19,19,19
72,4,8,19,19,19,19
73,4,8,19,19,19,19
74,3,11,19,19,19,19
75,4,10,19,19,19,19
76,5,11,19,19,19,19
77,4,12,19,19,19,19
78,5,10,19,19,19,19
79,8,10,19,19,19,19
80,4,8,19,19,19,19
81,1,7,19,19,19,19
82,6,12,19,19,19,19
83,4,11,19,19,19,19
84,5,13,19,19,19,19
85,6,11,19,19,19,19
86,3,10,19,19,19,19
87,4,10,19,19,19,19
88,4,9,19,19,19,19
89,6,11,19,19,19,19
90,6,9,19,19,19,19
91,4,13,19,19,19,19
92,5,8,19,19,19,19
93,4,12,19,19,19,19
94,4,10,19,19,19,19
95,9,11,19,19,19,19
96,3,11,19,19,19,19
97,2,12,19,19,19,19
98,7,10,19,19,19,19
99,7,10,19,19,19,19
100,2,7,19,19,19,19
