variant,ob,dataset,k,n_events,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate
centered_1s,1,Ob1.txt,8,28,0.2645630210041786,0.23077016441762616,0.033792856586552456,0.425,0.37211850960174325,False
centered_1s,1,Ob1.txt,10,28,0.17358155047954626,0.2685972825180386,-0.09501573203849234,0.725,0.24414941896882977,False
centered_1s,2,Ob2.txt,8,43,0.49352071723111657,0.2502566184500311,0.24326409878108546,0.125,0.804499795751412,True
centered_1s,2,Ob2.txt,10,43,0.5990398101439123,0.2089911667584966,0.39004864338541567,0.05,0.9765089652397604,True
centered_1s,3,Ob3.txt,8,40,0.12070862889094786,0.33217518779811406,-0.2114665589071662,0.775,0.40200574326320304,False
centered_1s,3,Ob3.txt,10,40,0.1562503909167392,0.2545527120566158,-0.09830232113987658,0.675,0.5203733578350691,False
centered_1s,4,Ob4.txt,8,58,0.11472880537162877,0.3018754085579255,-0.18714660318629672,0.9,0.28967778227223107,False
centered_1s,4,Ob4.txt,10,58,0.33412336545344057,0.18919476576208985,0.14492859969135072,0.25,0.8436252360195979,True
centered_1s,5,Ob5.txt,8,93,0.375322831761817,0.1964431087213223,0.1788797230404947,0.1,0.8846995199443767,True
centered_1s,5,Ob5.txt,10,93,0.33731769536378936,0.16031784770007318,0.17699984766371618,0.05,0.7951149727722154,True
centered_1s,6,Ob6.txt,8,112,0.06947810378962307,0.19485572090360248,-0.1253776171139794,0.8,51.89356358543959,False
centered_1s,6,Ob6.txt,10,112,0.030275464385519202,0.18308598844174304,-0.15281052405622383,0.95,22.61290464872049,False
centered_1s,7,Ob7.txt,8,33,0.479406390315879,0.23725070603759635,0.24215568427828266,0.25,1.117225241184399,True
centered_1s,7,Ob7.txt,10,33,0.46175502228840887,0.2755733821126011,0.1861816401758078,0.3,1.0760898823321086,True
centered_1s,8,Ob8.txt,8,84,0.2906812333236879,0.27402718052670616,0.016654052796981733,0.4,3.0938595312692962,False
centered_1s,8,Ob8.txt,10,84,0.010953817568277062,0.19489362456142997,-0.1839398069931529,0.975,0.11658672457076492,False
centered_1s,9,Ob9.txt,8,37,0.7680434118240895,0.27114740476383103,0.4968960070602585,0.025,2.1740491801701687,True
centered_1s,9,Ob9.txt,10,37,0.7157256691822491,0.2368170466952374,0.4789086224870117,0.075,2.02595684092503,True
centered_1s,10,Ob10.txt,8,36,0.5742532985740865,0.2071244941818976,0.36712880439218887,0.05,1.001259077062861,True
centered_1s,10,Ob10.txt,10,36,0.8041247935044736,0.33176579272413675,0.4723590007803369,0.05,1.4020594232316446,True
centered_1s,11,Ob11.txt,8,119,0.8262699018720063,0.14939306860234913,0.6768768332696572,0.0,1.78308014939865,True
centered_1s,11,Ob11.txt,10,119,0.7712036853834456,0.184976114396887,0.5862275709865586,0.0,1.664247940575859,True
centered_1s,12,Ob12.txt,8,91,0.4498523670189294,0.2047083838137944,0.245143983205135,0.075,2.3722424056786133,True
centered_1s,12,Ob12.txt,10,91,0.6176621810680457,0.1862290091670551,0.4314331719009906,0.075,3.2571672969587904,True
centered_1s,13,Ob13.txt,8,102,0.5795725879581806,0.22086663578543794,0.3587059521727426,0.1,1.2566334630646858,True
centered_1s,13,Ob13.txt,10,102,0.8098358048006359,0.2632827045380397,0.5465531002625962,0.05,1.7558918296767867,True
centered_1s,14,Ob14.txt,8,47,0.6836548282868476,0.2089077059185958,0.47474712236825184,0.05,1.1321118307039297,True
centered_1s,14,Ob14.txt,10,47,0.504738695529165,0.24517333134673347,0.2595653641824315,0.225,0.8358320968119892,True
centered_1s,15,Ob15.txt,8,96,1.0626864350026135,0.21283265473634838,0.8498537802662651,0.0,1.8032516887870185,True
centered_1s,15,Ob15.txt,10,96,0.7406178664252894,0.23104204034445563,0.5095758260808337,0.025,1.2567398758354877,True
centered_1s,16,Ob16.txt,8,84,0.5137171777309758,0.17046880228943126,0.3432483754415445,0.075,1.573560619999599,True
centered_1s,16,Ob16.txt,10,84,0.9728155726934067,0.26251637413464135,0.7102991985587653,0.0,2.979819134088496,True
centered_1s,17,Ob17.txt,8,122,0.3545546206220923,0.17562134484713135,0.17893327577496096,0.1,1.7932015609505025,True
centered_1s,17,Ob17.txt,10,122,0.43751622603353324,0.18231690634634568,0.25519931968718756,0.15,2.2127896065434016,True
centered_1s,18,Ob18.txt,8,103,0.4189879507240506,0.22544755706782021,0.19354039365623038,0.05,0.6526147506589025,True
centered_1s,18,Ob18.txt,10,103,0.4792083872029328,0.25041334830983986,0.22879503889309294,0.125,0.746413975837862,True
centered_1s,19,Ob19.txt,8,143,0.7096445189690912,0.1658619542911744,0.5437825646779169,0.025,1.363738344625174,True
centered_1s,19,Ob19.txt,10,143,0.8823063739875715,0.12524031403588193,0.7570660599516896,0.0,1.695546152687833,True
past_1s,1,Ob1.txt,8,28,0.011089770734844406,0.19429564047021916,-0.18320586973537475,1.0,0.015598207723860813,False
past_1s,1,Ob1.txt,10,28,0.48000739093300093,0.16897302073901,0.31103437019399094,0.15,0.6751496646577393,True
past_1s,2,Ob2.txt,8,43,0.6893654719426163,0.1664651426052557,0.5229003293373606,0.0,1.1237509632573197,True
past_1s,2,Ob2.txt,10,43,0.6095858735654851,0.21824043819137937,0.3913454353741057,0.025,0.993700352698098,True
past_1s,3,Ob3.txt,8,40,0.31808523027164504,0.26307665061263347,0.05500857965901157,0.425,1.0593450575262817,False
past_1s,3,Ob3.txt,10,40,0.07664665354642675,0.18365408939958014,-0.1070074358531534,0.725,0.25526257079272624,False
past_1s,4,Ob4.txt,8,58,0.2167967930229563,0.19983004244763286,0.01696675057532343,0.45,0.5473883738542958,False
past_1s,4,Ob4.txt,10,58,0.6080061848017486,0.21237655471721784,0.3956296300845308,0.075,1.535149630911479,True
past_1s,5,Ob5.txt,8,93,0.1109983895885629,0.14657807327440014,-0.03557968368583725,0.675,0.2616420150158069,False
past_1s,5,Ob5.txt,10,93,0.1752604420454137,0.17846568956960798,-0.0032052475241942935,0.5,0.413118563064702,False
past_1s,6,Ob6.txt,8,112,0.08946953360852256,0.146448538281395,-0.05697900467287245,0.75,66.82526836558442,False
past_1s,6,Ob6.txt,10,112,0.05880523997048176,0.17053386105972929,-0.11172862108924753,0.8,43.92194508942548,False
past_1s,7,Ob7.txt,8,33,0.7334646132760319,0.22879894309886067,0.5046656701771712,0.05,1.7092913153026754,True
past_1s,7,Ob7.txt,10,33,0.5949368730654366,0.1849338686897139,0.41000300437572273,0.075,1.3864614759558598,True
past_1s,8,Ob8.txt,8,84,0.2992254866819848,0.16324685070096923,0.13597863598101556,0.25,3.184800110363063,True
past_1s,8,Ob8.txt,10,84,0.09810283964303758,0.2453810726786414,-0.14727823303560383,0.8,1.0441554895159493,False
past_1s,9,Ob9.txt,8,37,0.8376924105960649,0.28514035063908905,0.5525520599569759,0.0,2.371199948406388,True
past_1s,9,Ob9.txt,10,37,0.7717184419925629,0.23780369451164304,0.5339147474809198,0.025,2.184451842574231,True
past_1s,10,Ob10.txt,8,36,0.6350857133824478,0.2069434591513715,0.4281422542310763,0.05,1.107325524844296,True
past_1s,10,Ob10.txt,10,36,0.8923173539217997,0.23800025733570457,0.6543170965860952,0.0,1.5558305933172618,True
past_1s,11,Ob11.txt,8,119,0.6953382745461603,0.15427922154662319,0.541059052999537,0.0,1.5005313295950424,True
past_1s,11,Ob11.txt,10,119,0.7613328453124896,0.22481019474238684,0.5365226505701027,0.0,1.642946790735432,True
past_1s,12,Ob12.txt,8,91,0.46582579877825475,0.12806869399902804,0.3377571047792267,0.0,2.456476378781373,True
past_1s,12,Ob12.txt,10,91,0.5495954201060068,0.12245764520643052,0.4271377748995763,0.025,2.8982254115545425,True
past_1s,13,Ob13.txt,8,102,0.6630976105853629,0.12976194346616798,0.5333356671191949,0.025,1.437733019215754,True
past_1s,13,Ob13.txt,10,102,0.7230907699147366,0.2239458634221928,0.49914490649254384,0.0,1.5678106197348838,True
