variant,variable,phase,n_observations,phase_gate_count,phase_gate_fraction,median_abs_event_minus_abs_null_z,median_event_minus_null_phase_z,majority_gate
centered_1s,all_tangential,early_pre,14,7,0.5,0.030572740822128845,-0.1079418533042393,False
centered_1s,all_tangential,near_pre,14,11,0.7857142857142857,0.1499508146449261,-0.1918738917439032,True
centered_1s,all_tangential,near_post,14,13,0.9285714285714286,0.115423454729529,0.1679641514386992,True
centered_1s,all_tangential,late_post,14,6,0.42857142857142855,0.008059658466318204,0.07479483371775597,False
past_1s,all_tangential,early_pre,14,9,0.6428571428571429,0.13024016384408538,-0.18671989942770584,True
past_1s,all_tangential,near_pre,14,8,0.5714285714285714,0.12204958344448588,-0.17895335548163357,True
past_1s,all_tangential,near_post,14,12,0.8571428571428571,0.11615574574253237,0.18424269361515982,True
past_1s,all_tangential,late_post,14,8,0.5714285714285714,0.03978827862608403,0.09090184660812728,True
none_z,all_tangential,early_pre,14,9,0.6428571428571429,0.06515942248248985,-0.15010463390994422,True
none_z,all_tangential,near_pre,14,12,0.8571428571428571,0.16753322305260573,-0.21840675365542828,True
none_z,all_tangential,near_post,14,8,0.5714285714285714,0.047233963845626274,0.09427615277431349,True
none_z,all_tangential,late_post,14,6,0.42857142857142855,0.021093399552557568,0.07055301693429972,False
