ob,dataset,k,lag_sec,lag_steps,n_attempted,n_valid,valid_fit_fraction,rank_screen_pass_fraction,median_neighbor_retention,median_condition_number,q90_condition_number,q95_condition_number,q99_condition_number,max_condition_number,frac_condition_gt_10,frac_condition_gt_30,frac_condition_gt_100,median_relative_residual_fraction,median_d2min,median_focal_tangential_mean,top5_t1_median_condition_number,rest95_t1_median_condition_number,top5_t1_frac_condition_gt_100,spearman_log_condition_vs_log_t1,event_window_fraction,event_window_valid_fit_fraction,event_window_median_condition_number,non_event_window_median_condition_number,combo_passes_qc_gate
1,Ob1.txt,8,0.1,10,7200,7200,1.0,1.0,1.0,2.166897865462535,3.456402824917157,4.019947845736501,5.460179892592186,12.354881568059364,0.0004166666666666667,0.0,0.0,0.7285988783742443,755.0880596714601,195.51398983133697,2.091478953427463,2.1729169321470643,0.0,-0.06877236844982706,0.09333333333333334,1.0,2.1448156738785387,2.1677912233253096,True
1,Ob1.txt,10,0.1,10,7200,7200,1.0,1.0,1.0,1.97233713029056,2.974181301701206,3.4319520382282773,4.3967259237503,8.177900399860503,0.0,0.0,0.0,0.7710971220932614,847.2670220360033,207.70164214394924,1.8885062573279088,1.977276359902437,0.0,-0.08644779365575733,0.09333333333333334,1.0,1.9416802270890199,1.974307999104695,True
2,Ob2.txt,8,0.1,10,7200,7200,1.0,1.0,1.0,2.2314913926696125,3.7038818600383148,4.399958653111573,6.0224841092929475,14.990877141395277,0.0011111111111111111,0.0,0.0,0.7121187115665586,641.223107445757,178.3488680581727,2.0676995246406347,2.240511573305513,0.0,-0.11819131940955475,0.11,1.0,2.2093075051535696,2.2355335079365686,True
2,Ob2.txt,10,0.1,10,7200,7200,1.0,1.0,1.0,2.0765907633994027,3.3209795555966686,3.878888623876623,5.184300242681105,9.913667944327367,0.0,0.0,0.0,0.7513248934419485,723.4209703002621,189.6230059953357,1.8741844638221479,2.090871124971348,0.0,-0.1550279214254357,0.11,1.0,2.050860731354437,2.082091217624991,True
3,Ob3.txt,8,0.1,10,7200,7200,1.0,1.0,1.0,2.3341146333609055,4.05223462768512,4.832421409121262,6.866788883347645,14.242657487394197,0.0008333333333333334,0.0,0.0,0.702358796361394,529.4391285651059,164.27867348574728,2.0786139227033535,2.3503057750244576,0.0,-0.14081452991540372,0.10666666666666667,1.0,2.3328624785404184,2.3343952666197474,True
3,Ob3.txt,10,0.1,10,7200,7200,1.0,1.0,1.0,2.1746340507455413,3.641331800941533,4.340702783301279,6.121090392256038,12.576828950779468,0.0004166666666666667,0.0,0.0,0.7420880067415508,591.2315855741895,174.2157359124909,1.9083595540864629,2.191916901334067,0.0,-0.18817516637426374,0.10666666666666667,1.0,2.1568524950620533,2.1754915876294114,True
4,Ob4.txt,8,0.1,10,7200,7200,1.0,1.0,1.0,2.625196108719051,4.902752568472409,5.989313684911082,9.206179848073514,36.01539108443816,0.00625,0.0001388888888888889,0.0,0.6838815475483786,416.58930857743053,145.58908890731522,2.1878888424590848,2.644729358862283,0.0,-0.1283668365490002,0.16333333333333333,1.0,2.636846653362908,2.6241115588556427,True
4,Ob4.txt,10,0.1,10,7200,7200,1.0,1.0,1.0,2.4471610230993823,4.398910375176209,5.330568394538423,7.743329903303307,25.308452438115815,0.0030555555555555557,0.0,0.0,0.7253752575053171,471.97148821576724,155.62748859181647,2.045668381525362,2.4796883154527887,0.0,-0.16456558544686697,0.16333333333333333,1.0,2.397221641243025,2.456160354785262,True
5,Ob5.txt,8,0.1,10,6569,6569,1.0,1.0,1.0,2.588275400377205,4.847875943423034,6.153656012913181,9.185448880399417,21.945794296721463,0.007915968945044908,0.0,0.0,0.6782050226165285,407.5305759527162,142.5502639938936,2.1963543488697574,2.6131090009948945,0.0,-0.16504396842030677,0.24874410108083422,1.0,2.6049732090056876,2.5810279603268005,True
5,Ob5.txt,10,0.1,10,6569,6569,1.0,1.0,1.0,2.4187524041916686,4.400288694846937,5.440346527423073,7.977996220386768,18.46675040534083,0.0035012939564621707,0.0,0.0,0.715201992445371,458.1914712840182,152.14999447527947,2.0084346706763196,2.449574837223738,0.0,-0.19438476033187416,0.24874410108083422,1.0,2.3886737378045986,2.4296578461691127,True
6,Ob6.txt,8,0.1,10,5319,5318,0.9998119947358526,0.9998119947358526,1.0,2.645475771551104,4.83560525641752,5.92639858526536,9.556745558322483,31.647303473090176,0.007897705904475368,0.000188040616773223,0.0,0.6697861593553438,372.21642105377055,138.47360468497249,2.2690447911263796,2.6767231895624315,0.0,-0.14769895185988535,0.20473773265651438,1.0,2.6855113508584885,2.63893623437464,True
6,Ob6.txt,10,0.1,10,5319,5318,0.9998119947358526,0.9998119947358526,1.0,2.5052810577177036,4.494122710071054,5.458951047370755,8.52815295366059,23.137075503257986,0.0045129748025573525,0.0,0.0,0.7085017161739986,421.30389203871044,147.86522708172873,2.1545441666966423,2.531063464436534,0.0,-0.17153337820094988,0.20473773265651438,1.0,2.527211144146229,2.497578107463421,True
7,Ob7.txt,8,0.1,10,7176,7176,1.0,1.0,1.0,2.2757418849280358,3.7651462482239997,4.50697231906896,6.399681816236315,22.102412686141538,0.0009754738015607581,0.0,0.0,0.7064615552494733,638.6900557827603,180.4830097698877,2.024987410438131,2.286020949135135,0.0,-0.11308120162213252,0.12709030100334448,1.0,2.232095760312243,2.279207361417348,True
7,Ob7.txt,10,0.1,10,7176,7176,1.0,1.0,1.0,2.101910715838837,3.341886374099383,3.876234713009738,5.330031865092162,9.558828114423488,0.0,0.0,0.0,0.7467652583305744,721.2695951910824,191.29235659475705,1.9264343124204861,2.1168432285043166,0.0,-0.14495434024563178,0.12709030100334448,1.0,2.0626930523046925,2.1077245868985863,True
8,Ob8.txt,8,0.1,10,7100,7100,1.0,1.0,1.0,2.6886681690303744,4.903822515619175,5.953204436365596,8.792130635443389,17.613785606895945,0.005774647887323943,0.0,0.0,0.6726383007889085,453.815782727686,151.58603660163033,2.310588286789858,2.7147649207264397,0.0,-0.09985621978921899,0.16295774647887323,1.0,2.769762519232085,2.6725659178702657,True
8,Ob8.txt,10,0.1,10,7100,7100,1.0,1.0,1.0,2.5211267710890324,4.431114524759508,5.259953391300896,7.352063441338854,11.772313586343998,0.0016901408450704226,0.0,0.0,0.713529453989808,509.26850708003826,161.6134594824235,2.161617249454756,2.5428572560820304,0.0,-0.13007977405434984,0.16295774647887323,1.0,2.564447889040733,2.5124161844247577,True
9,Ob9.txt,8,0.1,10,7153,7152,0.9998601985181043,0.9998601985181043,1.0,2.216587440756669,3.6578621530275908,4.269845795458036,5.864218120388991,15.151918001521404,0.0005592841163310962,0.0,0.0,0.7128997098326955,652.0029679662448,184.99219380306425,2.0190019456722825,2.2272270650488926,0.0,-0.10372787188430387,0.1274989514888858,1.0,2.168378604441777,2.2234011473079516,True
9,Ob9.txt,10,0.1,10,7153,7152,0.9998601985181043,0.9998601985181043,1.0,2.069612342828845,3.2214811234219325,3.7538449129010014,5.066854588204359,11.211673842669859,0.0002796420581655481,0.0,0.0,0.7508718811574644,729.9292080031926,195.0835512481804,1.8916775657997305,2.0771011263934804,0.0,-0.13105435413149397,0.1274989514888858,1.0,2.0413836795009783,2.0731450451244857,True
10,Ob10.txt,8,0.1,10,7176,7176,1.0,1.0,1.0,2.170819477007898,3.483310688703259,4.115702985730484,5.672646388997648,9.50176799342392,0.0,0.0,0.0,0.7227136300757337,666.532100559486,183.71255265508694,1.9965049208030492,2.180194190797396,0.0,-0.09729683274726644,0.10367892976588629,1.0,2.1353198866243037,2.1753253546816365,True
10,Ob10.txt,10,0.1,10,7176,7176,1.0,1.0,1.0,2.00508406891495,3.0589584663721006,3.477770960543683,4.70619045732126,8.73150897484461,0.0,0.0,0.0,0.7581774958172635,743.771777236522,194.88441975598664,1.868260507821928,2.0105820281989795,0.0,-0.13622699744507497,0.10367892976588629,1.0,2.010742190276273,2.0043101901906155,True
11,Ob11.txt,8,0.1,10,4228,4227,0.999763481551561,0.999763481551561,1.0,2.768449287356053,5.154695052912637,6.282690016495806,9.249027590836185,19.22922712882779,0.007333806482138633,0.0,0.0,0.6565145320109893,418.1158534982428,147.07810747771276,2.326296816677088,2.7951000929126466,0.0,-0.12064745712506277,0.21073793755912962,1.0,2.762684646321111,2.769801860223126,True
