ob,real_phase_aligned_z_4085,null_phase_abs_median_z_4085,abs_event_minus_abs_null_z_4085,p_null_abs_ge_real_abs_4085,reported_phase_gate_4085,real_phase_aligned_z_4142_centered,null_phase_abs_median_z_4142_centered,abs_event_minus_abs_null_z_4142_centered,p_null_abs_ge_real_abs_4142_centered,reported_phase_gate_4142_centered,real_phase_abs_diff,null_abs_median_delta_4142_minus_4085,p_delta_4142_minus_4085,4085_gate_recomputed_on_4085,4085_gate_recomputed_on_4142_centered,4142_gate_recomputed_on_4085,4142_gate_recomputed_on_4142_centered
2,-0.2103284355185931,0.0929582966222384,0.1173701388963546,0.05,False,-0.2103284355185961,0.0650720459899858,0.1452563895286103,0.025,True,2.9976021664879227e-15,-0.0278862506322526,-0.025,False,True,True,True
5,-0.1327575118308813,0.0441760012767981,0.0885815105540831,0.05,False,-0.1327575118308811,0.0406193972850359,0.0921381145458452,0.075,True,1.942890293094024e-16,-0.0035566039917621986,0.024999999999999994,False,False,True,True
7,-0.0203953221397158,0.0867542087737939,-0.0663588866340781,0.825,False,-0.020395322139716,0.0804232663750966,-0.0600279442353805,0.9,False,2.0122792321330962e-16,-0.0063309423986973035,0.07500000000000007,False,False,False,False
9,-0.2595715695414012,0.0835184096227671,0.176053159918634,0.025,True,-0.2595715695414022,0.0597568817817445,0.1998146877596577,0.025,True,9.992007221626409e-16,-0.023761527841022603,0.0,True,True,True,True
10,-0.1027546940303486,0.1019524359969863,0.0008022580333623,0.5,False,-0.1027546940303493,0.0903121236806104,0.0124425703497388,0.425,False,6.938893903907228e-16,-0.011640312316375898,-0.07500000000000001,False,False,False,False
11,-0.3144688858002836,0.0519362857638104,0.2625326000364731,0.0,True,-0.3144688858002837,0.0456098762589357,0.268859009541348,0.0,True,1.1102230246251565e-16,-0.006326409504874703,0.0,True,True,True,True
12,-0.2072881560569631,0.0846537526762272,0.1226344033807359,0.05,True,-0.207288156056963,0.0526429162957211,0.1546452397612419,0.025,True,1.1102230246251565e-16,-0.0320108363805061,-0.025,True,True,True,True
13,-0.1828417279538161,0.0500168731884696,0.1328248547653464,0.025,True,-0.1828417279538168,0.0538661902379202,0.1289755377158965,0.025,True,7.216449660063518e-16,0.0038493170494506013,0.0,True,True,True,True
14,-0.2509035192728217,0.0973576638905876,0.1535458553822341,0.0,True,-0.2509035192728219,0.0842329844847964,0.1666705347880255,0.0,True,2.220446049250313e-16,-0.013124679405791206,0.0,True,True,True,True
15,-0.2661524914556032,0.087412808459894,0.1787396829957092,0.0,True,-0.2661524914556036,0.0542218155082202,0.2119306759473833,0.0,True,3.885780586188048e-16,-0.033190992951673805,0.0,True,True,True,True
16,-0.2112079572638143,0.0616942453718263,0.149513711891988,0.025,True,-0.2112079572638143,0.0536529943310805,0.1575549629327337,0.0,True,0.0,-0.008041251040745802,-0.025,True,True,True,True
17,-0.0676643825638589,0.038001240092647,0.0296631424712119,0.275,False,-0.0676643825638592,0.062905666878238,0.0047587156856211,0.45,False,3.0531133177191805e-16,0.024904426785590995,0.175,False,False,False,False
18,-0.0991478094028442,0.0466547654287276,0.0524930439741165,0.3,False,-0.0991478094028445,0.055327764761463,0.0438200446413814,0.25,True,2.914335439641036e-16,0.008672999332735395,-0.04999999999999999,False,False,True,True
19,-0.2097024309300181,0.0435236018391867,0.1661788290908313,0.0,True,-0.2097024309300195,0.047944583515713,0.1617578474143064,0.0,True,1.3877787807814457e-15,0.004420981676526298,0.0,True,True,True,True
