example_event_id,example_event_type,dataset,ob,event_t,t,relative_t_sec,ulam_cell,spectral_set_3032b,spectral_set_3041b,compact_density_2,is_event_frame
1,low_to_high,Ob1.txt,1,3.36,3.31,-0.04999999999999982,21,low,low,low,False
1,low_to_high,Ob1.txt,1,3.36,3.32,-0.040000000000000036,21,low,low,low,False
1,low_to_high,Ob1.txt,1,3.36,3.33,-0.029999999999999805,21,low,low,low,False
1,low_to_high,Ob1.txt,1,3.36,3.34,-0.020000000000000018,21,low,low,low,False
1,low_to_high,Ob1.txt,1,3.36,3.35,-0.009999999999999787,21,low,low,low,False
1,low_to_high,Ob1.txt,1,3.36,3.36,0.0,4,high,high,high,True
1,low_to_high,Ob1.txt,1,3.36,3.37,0.010000000000000231,25,high,high,high,False
1,low_to_high,Ob1.txt,1,3.36,3.38,0.020000000000000018,25,high,high,high,False
1,low_to_high,Ob1.txt,1,3.36,3.39,0.03000000000000025,25,high,high,high,False
1,low_to_high,Ob1.txt,1,3.36,3.4,0.040000000000000036,25,high,high,high,False
1,low_to_high,Ob1.txt,1,3.36,3.41,0.050000000000000266,25,high,high,high,False
