pattern_id,file,n_hits,lines
T1,mypaper2/Latex/00_abstract.tex,4,"6,9,26,28"
T1,mypaper2/Latex/01_introduction_v2.tex,6,"80,122,124,125,131,142"
T1,mypaper2/Latex/Part2/02_data_trajectory_dataset.tex,2,"22,24"
T1,mypaper2/Latex/Part2/02_data_t1_observable_v2.tex,4,"35,37,39,102"
C(t),mypaper2/Latex/Part2/02_data_t1_observable_v2.tex,2,"17,24"
dotC,mypaper2/Latex/Part2/02_data_t1_observable_v2.tex,1,19
R(t),mypaper2/Latex/Part2/02_data_t1_observable_v2.tex,1,20
R_rms,mypaper2/Latex/Part2/02_data_t1_observable_v2.tex,3,"5,14,21"
spectral_set,mypaper2/Latex/Part2/02_data_t1_observable_v2.tex,2,"25,31"
T1,mypaper2/Latex/03_methods_v2.tex,1,5
T1,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex,6,"13,29,46,57,66,81"
near_pre_half_open,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex,1,77
B3,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex,2,"36,37"
T1,mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,2,"3,27"
C(t),mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,1,8
dotC,mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,4,"8,16,29,43"
R_rms,mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,1,22
R2,mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,1,11
near_pre_closed,mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,1,28
endpoint_inclusive,mypaper2/Latex/Part3/03_methods_reduction_boundary_tests_v2.tex,1,35
T1,mypaper2/Latex/04_results_v2.tex,1,4
T1,mypaper2/Latex/Part4/04_results_t1_survival_v2.tex,6,"1,6,7,15,16,33"
T1,mypaper2/Latex/Part4/04_results_scale_lag_robustness_v2.tex,1,8
T1,mypaper2/Latex/Part4/04_results_diffuse_phenotype_v2.tex,1,6
T1,mypaper2/Latex/Part4/04_results_failed_reductions_v2.tex,2,"8,21"
dotC,mypaper2/Latex/Part4/04_results_failed_reductions_v2.tex,3,"6,15,25"
R2,mypaper2/Latex/Part4/04_results_failed_reductions_v2.tex,1,15
T1,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,3,"25,42,43"
dotC,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,1,47
R2,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,1,47
T1,mypaper2/Latex/Part5/05_discussion_interpretive_value_v2.tex,2,"3,11"
T1,mypaper2/Latex/Part5/05_discussion_context_transfer_v2.tex,2,"10,26"
T1,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex,1,7
dotC,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex,1,14
T1,mypaper2/Latex/Part5/05_conclusion_v2.tex,1,11
