chunk,rep_start,rep_end,status,complete,elapsed_sec
chunk_0001_0050,1,50,complete,True,137.19290471076965
chunk_0051_0100,51,100,complete,True,138.39293313026428
chunk_0101_0150,101,150,complete,True,138.4406635761261
chunk_0151_0200,151,200,complete,True,137.42809772491455
chunk_0201_0250,201,250,complete,True,141.05656743049622
chunk_0251_0300,251,300,complete,True,140.97616934776306
chunk_0301_0350,301,350,complete,True,141.4807116985321
chunk_0351_0400,351,400,complete,True,141.94014382362366
chunk_0401_0450,401,450,complete,True,139.87770748138428
chunk_0451_0500,451,500,complete,True,139.40435361862183
chunk_0501_0550,501,550,complete,True,139.00886607170105
chunk_0551_0600,551,600,complete,True,139.92157125473022
chunk_0601_0650,601,650,complete,True,139.08856177330017
chunk_0651_0700,651,700,complete,True,139.3499755859375
chunk_0701_0750,701,750,complete,True,139.80450582504272
chunk_0751_0800,751,800,complete,True,140.32017135620117
chunk_0801_0850,801,850,complete,True,139.62347269058228
chunk_0851_0900,851,900,complete,True,141.0731167793274
chunk_0901_0950,901,950,complete,True,141.4530131816864
chunk_0951_1000,951,1000,complete,True,141.78622150421143
