replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
651,1,Ob1.txt,28,0.3449979648551694,0.020514666127159117,0.36337561070782637,-0.34286094458066724,0.95,0.05946315113995296,False,0.14415535025563012,0.27350586894235673,-0.12935051868672662,0.775,0.4178440597936475,False,False,False
651,2,Ob2.txt,43,0.3047193175025626,0.3407107563147321,0.1655286846767879,0.17518207163794416,0.25,1.118113413705276,True,0.37610914805104656,0.22319836496021747,0.1529107830908291,0.275,1.234280619730922,True,True,True
651,3,Ob3.txt,40,0.5533554679701581,0.8169366997950931,0.22815573710741857,0.5887809626876745,0.025,1.4763325693551286,True,1.0790660260626508,0.32783766882414656,0.7512283572385042,0.0,1.9500413179631646,True,True,True
651,4,Ob4.txt,58,0.5512706995186248,0.05346994268129118,0.2143437581414389,-0.16087381546014773,0.875,0.0969939863083267,False,0.21341531259163077,0.2531521977443772,-0.039736885152746426,0.6,0.38713342243291216,False,False,False
651,5,Ob5.txt,93,0.7904239519474672,0.5944933621985805,0.20431534157732384,0.39017802062125667,0.05,0.7521196197734801,True,0.5033112136050041,0.23066868446951067,0.2726425291354934,0.1,0.6367610854465288,True,True,True
651,6,Ob6.txt,112,0.1664284279486651,0.013130777995925796,0.1853513599892075,-0.1722205819932817,1.0,0.07889744653465085,False,0.059527603951127606,0.22716175563936788,-0.16763415168824028,0.875,0.3576768986214838,False,False,False
651,7,Ob7.txt,33,0.09465573739945796,0.8748730538944933,0.28830579114730254,0.5865672627471907,0.05,9.242683834392729,True,0.8280474118818006,0.4543572250982374,0.37369018678356325,0.125,8.747989658432923,True,True,True
651,8,Ob8.txt,84,0.017962604703456307,0.17927769852955036,0.3705174265147896,-0.19123972798523922,0.75,9.980607016033389,False,0.22894465245082496,0.4244725334654392,-0.1955278810146142,0.725,12.745626607636261,False,False,False
651,9,Ob9.txt,37,0.027978691226198005,0.2952939907558423,0.22997615199139743,0.06531783876444486,0.375,10.55424602846834,False,0.32406922073618605,0.21972772935731513,0.10434149137887092,0.3,11.582715507176475,True,False,True
651,10,Ob10.txt,36,0.48017469391821227,0.3258052553661753,0.2446122007781234,0.08119305458805187,0.4,0.6785140064496389,False,0.6517310800325774,0.2586781634285172,0.3930529166040602,0.025,1.3572791075566055,True,False,True
651,11,Ob11.txt,119,0.17681867119309946,0.05719322639155597,0.2157232045394295,-0.15852997814787353,0.9,0.3234569404104197,False,0.4454805296920924,0.15479517619351144,0.29068535349858093,0.125,2.5194201872809785,True,False,True
651,12,Ob12.txt,91,0.04489661966811037,0.11552585783438721,0.38715744307776273,-0.2716315852433755,0.775,2.5731526936413007,False,0.009502174194622251,0.3239060612385456,-0.31440388704392336,1.0,0.21164564871175706,False,False,False
651,13,Ob13.txt,102,0.5781671664752334,0.5208439726728571,0.002680974331498498,0.5181629983413586,0.0,0.9008535988789468,True,0.3544242855267235,0.06888201438899832,0.2855422711377252,0.0,0.613013512488876,True,True,True
