replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
851,4,9,19,19,19,19
852,6,12,19,19,19,19
853,3,9,19,19,19,19
854,8,13,19,19,19,19
855,5,11,19,19,19,19
856,4,9,19,19,19,19
857,3,11,19,19,19,19
858,4,10,19,19,19,19
859,7,12,19,19,19,19
860,2,5,19,19,19,19
861,9,12,19,19,19,19
862,5,12,19,19,19,19
863,3,9,19,19,19,19
864,5,8,19,19,19,19
865,1,5,19,19,19,19
866,6,12,19,19,19,19
867,4,8,19,19,19,19
868,4,12,19,19,19,19
869,6,10,19,19,19,19
870,6,9,19,19,19,19
871,8,12,19,19,19,19
872,6,11,19,19,19,19
873,4,9,19,19,19,19
874,5,14,19,19,19,19
875,5,12,19,19,19,19
876,4,12,19,19,19,19
877,9,14,19,19,19,19
878,2,6,19,19,19,19
879,3,5,19,19,19,19
880,5,13,19,19,19,19
881,2,7,19,19,19,19
882,2,9,19,19,19,19
883,3,13,19,19,19,19
884,3,9,19,19,19,19
885,3,10,19,19,19,19
886,5,13,19,19,19,19
887,5,8,19,19,19,19
888,3,13,19,19,19,19
889,3,12,19,19,19,19
890,4,10,19,19,19,19
891,2,8,19,19,19,19
892,7,15,19,19,19,19
893,6,13,19,19,19,19
894,5,10,19,19,19,19
895,3,10,19,19,19,19
896,3,9,19,19,19,19
897,5,12,19,19,19,19
898,6,12,19,19,19,19
899,4,10,19,19,19,19
900,5,11,19,19,19,19
