ob,dataset,n_replicates,null_pass_rate_k8,null_pass_rate_k10,null_pass_rate_both,null_pass_rate_any,observed_k8_pass,observed_k10_pass,observed_both_pass,observed_any_pass
1,Ob1.txt,1000,0.357,0.334,0.167,0.524,False,False,False,False
2,Ob2.txt,1000,0.383,0.371,0.213,0.541,True,True,True,True
3,Ob3.txt,1000,0.347,0.348,0.193,0.502,False,False,False,False
4,Ob4.txt,1000,0.379,0.352,0.218,0.513,False,True,False,True
5,Ob5.txt,1000,0.322,0.336,0.189,0.469,True,True,True,True
6,Ob6.txt,1000,0.347,0.36,0.218,0.489,False,False,False,False
7,Ob7.txt,1000,0.396,0.349,0.223,0.522,True,True,True,True
8,Ob8.txt,1000,0.409,0.368,0.23,0.547,False,False,False,False
9,Ob9.txt,1000,0.375,0.339,0.194,0.52,True,True,True,True
10,Ob10.txt,1000,0.378,0.386,0.206,0.558,True,True,True,True
11,Ob11.txt,1000,0.288,0.365,0.172,0.481,True,True,True,True
12,Ob12.txt,1000,0.368,0.367,0.235,0.5,True,True,True,True
13,Ob13.txt,1000,0.543,0.549,0.403,0.689,True,True,True,True
14,Ob14.txt,1000,0.385,0.372,0.226,0.531,True,True,True,True
15,Ob15.txt,1000,0.365,0.375,0.217,0.523,True,True,True,True
16,Ob16.txt,1000,0.355,0.347,0.204,0.498,True,True,True,True
17,Ob17.txt,1000,0.396,0.402,0.231,0.567,True,True,True,True
18,Ob18.txt,1000,0.505,0.528,0.378,0.655,True,True,True,True
19,Ob19.txt,1000,0.421,0.436,0.263,0.594,True,True,True,True
