replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
1,1,Ob1.txt,28,0.0366401751858747,0.0873284112190816,0.1730058961174663,-0.0856774848983846,0.725,2.383405941048775,False,0.5169855219088795,0.1955715843818753,0.3214139375270041,0.075,14.109799401510084,True,False,True
1,2,Ob2.txt,43,0.024198563300022,0.0690466180886573,0.1918789161744946,-0.1228322980858372,0.8,2.8533354328764875,False,0.321970600713783,0.2065121197567827,0.1154584809570002,0.275,13.3053601869616,True,False,True
1,3,Ob3.txt,40,0.7100547862146482,0.2090267362133424,0.2351191653001969,-0.0260924290868544,0.55,0.2943811382888898,False,0.2602473997272184,0.2533513435516059,0.0068960561756125,0.475,0.3665173515900309,False,False,False
1,4,Ob4.txt,58,0.0118099686470923,0.1252607735726971,0.3059767166024593,-0.1807159430297621,0.7,10.606359535385993,False,0.0681227163458778,0.3504615421415552,-0.2823388257956774,0.875,5.76823854334703,False,False,False
1,5,Ob5.txt,93,0.0821609527467615,0.2200133473624516,0.1685192886438588,0.0514940587185928,0.325,2.6778334477276813,True,0.3394547067825051,0.1895262131807215,0.1499284936017836,0.2,4.1315819185882665,True,True,True
1,6,Ob6.txt,112,0.212870350791826,0.2639973328777132,0.206785203266712,0.0572121296110011,0.4,1.2401789722979608,False,0.4281629755058332,0.2115911300881737,0.2165718454176595,0.15,2.0113791042912785,True,False,True
1,7,Ob7.txt,33,0.8929388549013808,0.2788548431685202,0.261733071043059,0.0171217721254612,0.45,0.3122888444576845,False,0.0892053756883252,0.2626777631651567,-0.1734723874768315,0.9,0.0999008780933576,False,False,False
1,8,Ob8.txt,84,0.0904325330392444,0.0224656684583756,0.1197364729767062,-0.0972708045183305,0.925,0.2484246288736198,False,0.2489964878443846,0.1683952268675455,0.0806012609768391,0.35,2.753395039109755,True,False,True
1,9,Ob9.txt,37,0.0074131246463813,0.4347700349647363,0.2985009175145921,0.1362691174501442,0.325,58.6486880639412,True,0.3535597641823668,0.2969453928990248,0.056614371283342,0.425,47.69375682290087,False,False,True
1,10,Ob10.txt,36,0.0151219109172235,0.2472132454460344,0.1905270304210625,0.0566862150249718,0.325,16.348016252659107,True,0.2796789520913861,0.2464201368165297,0.0332588152748563,0.475,18.49494773658776,False,False,True
1,11,Ob11.txt,119,0.1167442542196255,0.0539103909423055,0.2503025657328248,-0.1963921747905193,0.85,0.4617819635121948,False,0.1939820850561209,0.1598044194216044,0.0341776656345165,0.45,1.6615985630538312,False,False,False
1,12,Ob12.txt,91,0.3421191945384829,0.0404623254949156,0.1518094842859867,-0.111347158791071,0.925,0.1182696736717713,False,0.1118043301287855,0.216368859205597,-0.1045645290768115,0.825,0.326799349213975,False,False,False
