replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
1,4,12,19,19,19,19
2,3,13,19,19,19,19
3,5,12,19,19,19,19
4,5,14,19,19,19,19
5,3,8,19,19,19,19
6,4,7,19,19,19,19
7,3,7,19,19,19,19
8,4,12,19,19,19,19
9,3,8,19,19,19,19
10,5,10,19,19,19,19
11,5,12,19,19,19,19
12,4,9,19,19,19,19
13,3,9,19,19,19,19
14,8,10,19,19,19,19
15,2,10,19,19,19,19
16,4,10,19,19,19,19
17,4,11,19,19,19,19
18,4,10,19,19,19,19
19,4,12,19,19,19,19
20,3,12,19,19,19,19
21,3,10,19,19,19,19
22,5,10,19,19,19,19
23,3,6,19,19,19,19
24,7,12,19,19,19,19
25,4,8,19,19,19,19
26,3,13,19,19,19,19
27,5,10,19,19,19,19
28,7,13,19,19,19,19
29,3,9,19,19,19,19
30,5,10,19,19,19,19
31,5,11,19,19,19,19
32,4,10,19,19,19,19
33,5,14,19,19,19,19
34,5,13,19,19,19,19
35,4,9,19,19,19,19
36,4,8,19,19,19,19
37,5,12,19,19,19,19
38,2,9,19,19,19,19
39,5,11,19,19,19,19
40,5,13,19,19,19,19
41,3,8,19,19,19,19
42,6,14,19,19,19,19
43,4,11,19,19,19,19
44,5,10,19,19,19,19
45,3,9,19,19,19,19
46,5,7,19,19,19,19
47,5,11,19,19,19,19
48,7,10,19,19,19,19
49,6,10,19,19,19,19
50,4,9,19,19,19,19
51,7,12,19,19,19,19
52,4,9,19,19,19,19
53,4,12,19,19,19,19
54,7,11,19,19,19,19
55,4,11,19,19,19,19
56,9,13,19,19,19,19
57,3,6,19,19,19,19
58,3,8,19,19,19,19
59,3,7,19,19,19,19
60,5,12,19,19,19,19
61,6,11,19,19,19,19
62,3,12,19,19,19,19
63,5,8,19,19,19,19
64,4,13,19,19,19,19
65,5,10,19,19,19,19
66,6,11,19,19,19,19
67,4,8,19,19,19,19
68,4,9,19,19,19,19
69,4,11,19,19,19,19
70,2,9,19,19,19,19
71,1,6,19,19,19,19
72,2,7,19,19,19,19
73,5,9,19,19,19,19
74,6,13,19,19,19,19
75,3,7,19,19,19,19
76,4,9,19,19,19,19
77,6,11,19,19,19,19
78,3,7,19,19,19,19
79,7,10,19,19,19,19
80,9,12,19,19,19,19
81,8,13,19,19,19,19
82,3,9,19,19,19,19
83,6,12,19,19,19,19
84,8,12,19,19,19,19
85,3,12,19,19,19,19
86,12,15,19,19,19,19
87,4,8,19,19,19,19
88,7,9,19,19,19,19
89,4,10,19,19,19,19
90,3,7,19,19,19,19
91,3,10,19,19,19,19
92,3,11,19,19,19,19
93,6,15,19,19,19,19
94,4,13,19,19,19,19
95,4,9,19,19,19,19
96,7,15,19,19,19,19
97,4,10,19,19,19,19
98,9,15,19,19,19,19
99,3,8,19,19,19,19
100,4,11,19,19,19,19
101,2,11,19,19,19,19
102,4,10,19,19,19,19
103,5,10,19,19,19,19
104,3,11,19,19,19,19
105,2,9,19,19,19,19
106,5,9,19,19,19,19
107,5,11,19,19,19,19
108,6,13,19,19,19,19
109,9,13,19,19,19,19
110,3,11,19,19,19,19
111,6,15,19,19,19,19
112,5,13,19,19,19,19
113,5,11,19,19,19,19
114,6,10,19,19,19,19
115,4,8,19,19,19,19
116,4,11,19,19,19,19
117,2,12,19,19,19,19
118,5,12,19,19,19,19
119,2,8,19,19,19,19
120,3,10,19,19,19,19
121,6,10,19,19,19,19
122,6,10,19,19,19,19
123,7,11,19,19,19,19
124,5,9,19,19,19,19
125,5,13,19,19,19,19
126,2,6,19,19,19,19
127,2,9,19,19,19,19
128,4,7,19,19,19,19
129,7,13,19,19,19,19
130,5,9,19,19,19,19
131,4,10,19,19,19,19
132,5,11,19,19,19,19
133,4,14,19,19,19,19
134,8,14,19,19,19,19
135,3,8,19,19,19,19
136,6,13,19,19,19,19
137,4,7,19,19,19,19
138,8,13,19,19,19,19
139,1,6,19,19,19,19
140,5,9,19,19,19,19
141,7,9,19,19,19,19
142,7,10,19,19,19,19
143,1,7,19,19,19,19
144,6,12,19,19,19,19
145,2,12,19,19,19,19
146,7,11,19,19,19,19
147,2,6,19,19,19,19
148,4,7,19,19,19,19
149,8,11,19,19,19,19
150,5,12,19,19,19,19
151,2,9,19,19,19,19
152,5,13,19,19,19,19
153,6,14,19,19,19,19
154,5,14,19,19,19,19
155,4,8,19,19,19,19
156,2,8,19,19,19,19
157,6,10,19,19,19,19
158,4,5,19,19,19,19
159,5,11,19,19,19,19
160,3,6,19,19,19,19
161,4,10,19,19,19,19
162,6,9,19,19,19,19
163,2,7,19,19,19,19
164,8,13,19,19,19,19
165,2,9,19,19,19,19
166,4,11,19,19,19,19
167,3,5,19,19,19,19
168,3,12,19,19,19,19
169,5,12,19,19,19,19
170,3,11,19,19,19,19
171,4,13,19,19,19,19
172,6,9,19,19,19,19
173,2,5,19,19,19,19
174,5,10,19,19,19,19
175,5,10,19,19,19,19
176,1,9,19,19,19,19
177,4,11,19,19,19,19
178,10,15,19,19,19,19
179,0,8,19,19,19,19
180,2,10,19,19,19,19
181,6,12,19,19,19,19
182,5,10,19,19,19,19
183,5,11,19,19,19,19
184,1,13,19,19,19,19
185,2,15,19,19,19,19
186,5,10,19,19,19,19
187,2,8,19,19,19,19
188,4,12,19,19,19,19
189,7,14,19,19,19,19
190,5,15,19,19,19,19
191,4,13,19,19,19,19
192,4,10,19,19,19,19
193,7,13,19,19,19,19
194,5,11,19,19,19,19
195,3,9,19,19,19,19
196,5,13,19,19,19,19
197,5,8,19,19,19,19
198,3,12,19,19,19,19
199,6,9,19,19,19,19
200,2,9,19,19,19,19
201,7,10,19,19,19,19
202,3,8,19,19,19,19
203,6,10,19,19,19,19
