ob,record,old_abs,fast_abs,abs_diff
1,b3,0.13703403130843672,0.13703403130842132,1.5404344466674047e-14
1,k8,0.19451605694537127,0.19451605694537372,2.4424906541753444e-15
1,k10,0.09224199739438786,0.09224199739439068,2.8171909249863347e-15
2,b3,0.031188194312319256,0.031188194312324585,5.329070518200751e-15
2,k8,0.1694563080752985,0.16945630807529713,1.3600232051658168e-15
2,k10,0.13967618125380576,0.13967618125380699,1.2212453270876722e-15
3,b3,0.4276633856694927,0.42766338566949,2.6645352591003757e-15
3,k8,0.38717706926620454,0.3871770692662049,3.3306690738754696e-16
3,k10,0.6528937864065302,0.6528937864065313,1.1102230246251565e-15
4,b3,0.397735714691256,0.3977357146912553,7.216449660063518e-16
4,k8,0.44901371563991443,0.44901371563991505,6.106226635438361e-16
4,k10,0.3746961575143384,0.3746961575143316,6.772360450213455e-15
