ob,dataset,n_replicates,null_pass_rate_k8,null_pass_rate_k10,null_pass_rate_both,null_pass_rate_any,observed_k8_pass,observed_k10_pass,observed_both_pass,observed_any_pass
1,Ob1.txt,8,0.375,0.25,0.0,0.625,False,False,False,False
2,Ob2.txt,8,0.375,0.375,0.125,0.625,True,True,True,True
3,Ob3.txt,8,0.5,0.375,0.0,0.875,False,False,False,False
4,Ob4.txt,8,0.625,0.5,0.5,0.625,False,True,False,True
5,Ob5.txt,8,0.375,0.375,0.375,0.375,True,True,True,True
6,Ob6.txt,8,0.5,0.375,0.375,0.5,False,False,False,False
7,Ob7.txt,8,0.625,0.5,0.375,0.75,True,True,True,True
8,Ob8.txt,8,0.5,0.25,0.125,0.625,False,False,False,False
9,Ob9.txt,8,0.25,0.25,0.125,0.375,True,True,True,True
10,Ob10.txt,8,0.5,0.375,0.25,0.625,True,True,True,True
11,Ob11.txt,8,0.375,0.625,0.25,0.75,True,True,True,True
12,Ob12.txt,8,0.125,0.375,0.125,0.375,True,True,True,True
13,Ob13.txt,8,0.25,0.375,0.125,0.5,True,True,True,True
14,Ob14.txt,8,0.25,0.25,0.125,0.375,True,True,True,True
15,Ob15.txt,8,0.125,0.25,0.125,0.25,True,True,True,True
16,Ob16.txt,8,0.375,0.25,0.25,0.375,True,True,True,True
17,Ob17.txt,8,0.25,0.25,0.125,0.375,True,True,True,True
18,Ob18.txt,8,0.375,0.5,0.375,0.5,True,True,True,True
19,Ob19.txt,8,0.375,0.5,0.125,0.75,True,True,True,True
